advert_id,nm_id,primary_keyword,target_grade,keyword,is_primary,shows,clicks,orders,ctr_pct,cpc_rub,spend_rub,bid_rub,status,retail_price_rub,cost_price_rub,margin_pct,max_drr_pct,parsed_position,keywords_synced_at
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для мытья стекол и зеркал,False,22,1,0,4.55,7.7,7.7,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки для уборки сверхпрочные xl,False,22,3,0,13.64,2.57,7.71,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки хозяйственные прочные для уборки,False,22,3,0,13.64,3.67,11.01,5.0,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки для мытья посуды прочные,False,21,4,1,19.05,1.84,7.36,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки для уборки сверхпрочные s,False,21,2,2,9.52,3.68,7.36,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки резиновые латексные прочные,False,21,0,0,0.0,,0.0,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка умная для стекол без разводов,False,21,1,0,4.76,7.35,7.35,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки резиновые плотные хозяйственные,False,21,2,0,9.52,3.68,7.36,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,резиновые перчатки с хлопковым напылением,False,21,5,0,23.81,1.47,7.35,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,пенящиеся абразивные салфетки для уборки,False,21,0,0,0.0,,0.0,,pending_100_shows,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,умная тряпка без разводов,False,20,0,0,0.0,,0.0,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки резиновые латексные прочные,False,20,0,0,0.0,,0.0,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки хозяйственные прочные для уборки,False,20,3,0,15.0,2.33,6.99,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки белые высокие,False,20,0,0,0.0,,0.0,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
